2  65.67516111  024.55284167 000061  324 010    0.0 AS   ALFA-SIERRA KEMI NDB
2  66.31916667 -179.10777778 002500  275 050    0.0 AS   ZALIV KRESTA NDB
2  66.84416667  088.51083333 000000  368 050    0.0 AS   SVETLOGORSK NDB
2 -34.78952778 -056.26302778 000000  395 050    0.0 ASI  ADAMI MONTEVIDEO NDB
2  60.42199722  005.18025278 000000  360 025    0.0 ASK  ASKOY BERGEN NDB
2  45.80472222  003.36161111 000000  367 010    0.0 ASM  CLERMONT-FERRAND/AUVERGNE NDB
2 -22.64483333 -050.45300000 000000  275 050    0.0 ASS  ASSIS NDB
2  43.55783333 -006.02838889 000000  325 200    0.0 AST  ASTURIAS NDB
2 -20.00333333 -158.10666667 000000  388 050    0.0 AT   ATIU NDB
2 -14.90291667  047.99569444 000000  374 025    0.0 AT   ANTSOHIHY NDB
2 -00.14250000  109.40505556 000000  245 010    0.0 AT   PONTIANAK NDB
2  06.15919444  100.37155556 000000  385 050    0.0 AT   ALOR STAR NDB
2  10.82927778  072.17891667 000000  360 050    0.0 AT   AGATTI NDB
2  23.88753056  091.24348333 000000  237 025    0.0 AT   AGARTALA NDB
2  33.64681111 -084.54211111 000956  375 025    0.0 AT   CATTA ATLANTA NDB
2  39.84700000 -084.33481111 000953  315 025    0.0 AT   BRUNY DAYTON NDB
2  45.86163889  006.02033333 002251  384 010    0.0 AT   ANNECY NDB
2  33.10420278 -094.19006111 000263  347 025    0.0 ATA  ATLANTA NDB
2 -09.87050000 -056.10150000 000000  245 050    0.0 ATF  ALTA FLORESTA NDB
2  57.07751389 -002.10570000 000000  348 010    0.0 ATF  DYCE ABERDEEN NDB
2  70.46906389 -157.42749444 000097  350 200    0.0 ATK  ATQASUK NDB
2  36.58106944  026.37560278 000165  422 010    0.0 ATL  ASTYPALAIA NDB
2 -03.25650000 -052.25083333 000000  295 050    0.0 ATM  ALTAMIRA NDB
2  32.85270000 -104.46051667 003504  414 025    0.0 ATS  ARTESIA NDB
2  19.86055556  075.39850000 000000  205 025    0.0 AU   AURANGABAD NDB
2  44.41091944 -069.86066667 000238  366 025    0.0 AU   DUNNS AUGUSTA NDB
2  55.99099444  008.31835833 000000  346 010    0.0 AU   STAUNING NDB
2  58.73716667 -156.77830833 000066  355 050    0.0 AUB  CHINOOK KING SALMON NDB
2  30.19851944 -093.42064167 000010  278 025    0.0 AUR  SULFY SULPHUR NDB
2 -23.88444444 -147.66480556 000059  372 050    0.0 AV   RAIVAVAE NDB
2  06.37444444  124.74861111 000000  377 050    0.0 AV   ALLAH VALLEY SURALLAH NDB
2  43.53908333 -005.93052778 000000  387 025    0.0 AV   ASTURIAS NDB
2  46.88133333  002.92883333 000000  306 010    0.0 AV   AVORD NDB
2  50.05305556 -097.04500000 000861  275 025    0.0 AV   SAINT ANDREWS WINNIPEG NDB
2  47.12066667  002.79961111 000000  288 010    0.0 AVD  AVORD NDB
2  45.92433611  012.42850278 000128  390 050    0.0 AVI  AVIANO NDB
2  54.68161111  025.31869444 000000  385 010    0.0 AVN  VILNIUS NDB
2  32.41183889 -111.21558611 002021  245 050    0.0 AVQ  MARANA NDB
2  32.76012778 -096.24914444 000491  260 025    0.0 AVZ  TRAVIS TERRELL NDB
2  48.07611944 -122.15391111 000065  382 025    0.0 AW   WATON ARLINGTON NDB
2  32.29267500 -085.02326389 000407  335 025    0.0 AWS  LAWSON COLUMBUS NDB
2  40.16810000 -084.92190833 001110  212 025    0.0 AWW  WINCHESTER NDB
2  31.34413889  048.74463889 000000  415 025    0.0 AWZ  AHWAZ NDB
2  14.14596667  038.77633056 006960  440 050    0.0 AX   AXUM NDB
2  47.92016667  003.50213889 000000  417 010    0.0 AX   AUXERRE NDB
2  09.64724722  041.84236111 000000  241 050    0.0 AY   DIRE DAWA NDB
2  22.85530833  120.26186667 000000  265 025    0.0 AY   KANGSHAN NDB
2  31.32580556 -082.39777778 000108  219 025    0.0 AY   WIKET WAYCROSS NDB
2  51.38675000 -056.09499444 000119  356 050    0.0 AY   ST ANTHONY NDB
2 -13.15194444 -074.20527778 008917  370 050    0.0 AYA  AYACUCHO NDB
2 -25.17269722  130.97479444 001757  233 050    0.0 AYE  AYERS ROCK NDB
2  42.13116389 -085.52974722 000856  371 025    0.0 AZ   AUSTN KALAMAZOO NDB
2  53.46091667  050.20297222 000000  287 050    0.0 AZ   KURUMOCH SAMARA NDB
2  64.60666667  040.58416667 000000  690 025    0.0 AZ   TALAGI ARKHANGELSK NDB
2  36.96006389 -113.00917500 004858  403 025    0.0 AZC  COLORADO CITY NDB
2  31.87982778 -082.64736389 000252  414 025    0.0 AZE  HAZLEHURST NDB
2  39.88381944 -094.90815278 000823  233 025    0.0 AZN  AMAZON SAINT JOSEPH NDB
2  30.36916667 -009.45222222 000000  371 025    0.0 AZR  INEZGANE NDB
2  12.49818333  037.43803889 000000  349 050    0.0 AZZ  GONDER NDB
2 -41.14263889 -071.18219444 002772  305 010    0.0 B    BRAVO S C DE BARILOCHE NDB
2  39.47966667 -000.45616667 000000  400 025    0.0 B    VALENCIA NDB
2  39.79716667  064.48741667 000000  390 025    0.0 B    BUKHARA NDB
2  43.06620000  074.51544444 000000  481 025    0.0 B    MANAS BISHKEK NDB
2  43.37283333 -003.03486111 000000  395 010    0.0 B    BILBAO NDB
2  43.94427778  145.68275000 000000  255 010    0.0 B    MENDELEYEVO YUZHNO-KURILSK NDB
